BOL_game_id,week,player_name,position,team,proj_passingYards,proj_passingCompletions,proj_passingTouchdowns,proj_passingAttempts,proj_passingInterceptions,proj_rushingYards,proj_rushingAttempts,proj_receivingYards,proj_receivingReceptions,proj_defensiveTotalTackles,proj_defensiveSacks,proj_defensiveInterceptions,proj_rushingTouchdowns,proj_receivingTouchdowns,BetTimeStamp,NFL_game_id,officialDate,Location
259337,1,Roschon Johnson,RB,CHI,,,,,,,,,,,,,0.31762144920039653,0.0,2025-09-04T14:12:53.294042,2025_01_MIN_CHI,2025-09-08,Home
259324,1,Kyle Pitts,TE,ATL,,,,,,,,39.10500000000001,3.0975,,,,0.0,0.31762144920039653,2025-09-04T14:12:53.294042,2025_01_TB_ATL,2025-09-07,Home
259326,1,Josh Downs,WR,IND,,,,,,,,,,,,,0.0,0.32927927927927925,2025-09-04T14:12:53.294042,2025_01_MIA_IND,2025-09-07,Home
259322,1,Jake Ferguson,TE,DAL,,,,,,,,36.5,3.42,,,,0.0,0.32927927927927925,2025-09-04T14:12:53.294042,2025_01_DAL_PHI,2025-09-04,Away
259326,1,Jaylen Wright,RB,MIA,,,,,,,,,,,,,0.32927927927927925,0.0,2025-09-04T14:12:53.294042,2025_01_MIA_IND,2025-09-07,Away
259322,1,Dallas Goedert,TE,PHI,,,,,,,,40.29,3.6399999999999997,,,,0.0,0.32927927927927925,2025-09-04T14:12:53.294042,2025_01_DAL_PHI,2025-09-04,Home
259325,1,Kaleb Johnson,RB,PIT,,,,,,20.5,5.967500000000001,,,,,,0.32927927927927925,0.0,2025-09-04T14:12:53.294042,2025_01_PIT_NYJ,2025-09-07,Away
259324,1,Darnell Mooney,WR,ATL,,,,,,,,,,,,,0.0,0.32927927927927925,2025-09-04T14:12:53.294042,2025_01_TB_ATL,2025-09-07,Home
259330,1,Cedric Tillman,WR,CLE,,,,,,,,39.69,2.5725,,,,0.0,0.32927927927927925,2025-09-04T14:12:53.294042,2025_01_CIN_CLE,2025-09-07,Home
259332,1,Cooper Kupp,WR,SEA,,,,,,,,39.5,4.1125,,,,0.0,0.3403103468241561,2025-09-04T14:12:53.294042,2025_01_SF_SEA,2025-09-07,Home
259326,1,Tyler Warren,TE,IND,,,,,,,,35.40500000000001,4.1125,,,,0.0,0.3403103468241561,2025-09-04T14:12:53.294042,2025_01_MIA_IND,2025-09-07,Home
259333,1,Calvin Ridley,WR,TEN,,,,,,,,51.36000000000001,3.42,,,,0.0,0.3403103468241561,2025-09-04T14:12:53.294042,2025_01_TEN_DEN,2025-09-07,Away
259333,1,Marvin Mims Jr.,WR,DEN,,,,,,,,36.86499999999999,2.1000000000000005,,,,0.0,0.35117083136885113,2025-09-04T14:12:53.294042,2025_01_TEN_DEN,2025-09-07,Home
259326,1,Ollie Gordon II,RB,MIA,,,,,,28.78499999999999,,,,,,,0.35117083136885113,0.0,2025-09-04T14:12:53.294042,2025_01_MIA_IND,2025-09-07,Away
259327,1,Xavier Legette,WR,CAR,,,,,,,,37.5,2.9750000000000005,,,,0.0,0.35117083136885113,2025-09-04T14:12:53.294042,2025_01_CAR_JAX,2025-09-07,Away
259324,1,Tyler Allgeier,RB,ATL,,,,,,23.03,5.525,,,,,,0.35117083136885113,0.0,2025-09-04T14:12:53.294042,2025_01_TB_ATL,2025-09-07,Home
259325,1,Braelon Allen,RB,NYJ,,,,,,30.922500000000007,,,,,,,0.35117083136885113,0.0,2025-09-04T14:12:53.294042,2025_01_PIT_NYJ,2025-09-07,Home
259336,1,Khalil Shakir,WR,BUF,,,,,,,,46.03500000000002,,,,,0.0,0.3628421665695981,2025-09-04T14:12:53.294042,2025_01_BAL_BUF,2025-09-07,Home
259334,1,Jayden Reed,WR,GB,,,,,,,,,,,,,0.0,0.37543129312931295,2025-09-04T14:12:53.294042,2025_01_DET_GB,2025-09-07,Home
259336,1,Rashod Bateman,WR,BAL,,,,,,,,35.625000000000014,3.1625000000000005,,,,0.0,0.37543129312931295,2025-09-04T14:12:53.294042,2025_01_BAL_BUF,2025-09-07,Away
259334,1,Sam LaPorta,TE,DET,,,,,,,,40.90499999999999,4.2525,,,,0.0,0.37543129312931295,2025-09-04T14:12:53.294042,2025_01_DET_GB,2025-09-07,Away
259330,1,David Njoku,TE,CLE,,,,,,,,48.015000000000015,5.76,,,,0.0,0.37543129312931295,2025-09-04T14:12:53.294042,2025_01_CIN_CLE,2025-09-07,Home
259337,1,T.J. Hockenson,TE,MIN,,,,,,,,41.5,3.7125000000000004,,,,0.0,0.38969298245614037,2025-09-04T14:12:53.294042,2025_01_MIN_CHI,2025-09-08,Away
259325,1,Garrett Wilson,WR,NYJ,,,,,,,,55.5,5.7825,,,,0.0,0.38969298245614037,2025-09-04T14:12:53.294042,2025_01_PIT_NYJ,2025-09-07,Home
