week,officialDate,Away,Home,player_name,BetTimeStamp,proj_receivingYards,proj_receivingReceptions,proj_rushingTouchdowns,proj_passingInterceptions,proj_passingAttempts,proj_passingCompletions,proj_passingYards,proj_rushingAttempts,proj_rushingYards,proj_passingTouchdowns,proj_receivingTouchdowns
1,2025-09-07,Houston Texans,Los Angeles Rams,C.J. Stroud,2025-09-07T08:35:53.160719,,,,0.4957499811844832,35.32750139013433,18.54225029469182,233.5,,11.5,0.9757501306147689,
1,2025-09-07,Houston Texans,Los Angeles Rams,Christian Kirk,2025-09-04T11:46:56.304568,41.5,3.0747498163640907,,,,,,,,,
1,2025-09-07,Houston Texans,Los Angeles Rams,Dalton Schultz,2025-09-07T08:35:53.161559,28.5,3.0762500798752965,,,,,,,,,
1,2025-09-07,Houston Texans,Los Angeles Rams,Davante Adams,2025-09-07T08:35:53.162179,56.5,5.834249992281273,,,,,,,,,
1,2025-09-07,Houston Texans,Los Angeles Rams,Kyren Williams,2025-09-07T08:35:53.163225,10.4072498634355,2.101499983692972,0.535632688091042,,,,,16.5,72.2855028444287,,0.07711730569246128
1,2025-09-07,Houston Texans,Los Angeles Rams,Matthew Stafford,2025-09-07T08:35:53.164274,,,,0.5697499730543805,33.848752366592095,20.607748434408308,228.63750065343825,,,1.3147500217019321,
1,2025-09-07,Houston Texans,Los Angeles Rams,Nick Chubb,2025-09-07T08:35:53.164899,,,,,,,,12.500500491893686,43.222253021956064,,
1,2025-09-07,Houston Texans,Los Angeles Rams,Nico Collins,2025-09-07T08:35:53.165519,86.41650340048243,6.919000058476213,,,,,,,,,
1,2025-09-07,Houston Texans,Los Angeles Rams,Puka Nacua,2025-09-07T08:35:53.166186,73.5,5.317000179699026,,,,,,,,,
1,2025-09-07,Houston Texans,Los Angeles Rams,Tutu Atwell,2025-09-07T08:35:53.166786,22.5,1.251249977546334,,,,,,,,,
1,2025-09-07,Houston Texans,Los Angeles Rams,Tyler Higbee,2025-09-07T08:35:53.167446,22.5,2.478749905922416,,,,,,,,,
1,2025-09-07,Las Vegas Raiders,New England Patriots,Ashton Jeanty,2025-09-07T08:35:37.365647,17.5,2.521250094077584,0.4346765769314088,,,,,15.122249811616529,69.90074734701213,,0.10882344445527313
1,2025-09-07,Las Vegas Raiders,New England Patriots,Brock Bowers,2025-09-07T08:35:37.366359,65.5,5.0992495736195105,,,,,,,,,
1,2025-09-07,Las Vegas Raiders,New England Patriots,DeMario Douglas,2025-09-07T08:35:37.367003,34.24050134736096,3.4702498682913827,,,,,,,,,
